date;host;searches
23.04.2016;mobile_web;7373
24.04.2016;Android;8039
24.04.2016;iOS;29442
24.04.2016;mobile_web;9879
25.04.2016;Android;9602
25.04.2016;iOS;36491
25.04.2016;mobile_web;9258
26.04.2016;Android;10198
26.04.2016;iOS;35261
26.04.2016;mobile_web;8435
27.04.2016;Android;8955
27.04.2016;iOS;37022
27.04.2016;mobile_web;8882
28.04.2016;Android;9765
28.04.2016;iOS;35790
28.04.2016;mobile_web;7437
29.04.2016;Android;8916
29.04.2016;iOS;29009
29.04.2016;mobile_web;8726
30.04.2016;Android;7636
30.04.2016;iOS;25827
30.04.2016;mobile_web;7104
01.05.2016;Android;6568
01.05.2016;iOS;25176
01.05.2016;mobile_web;7293
02.05.2016;Android;8150
02.05.2016;iOS;29441
02.05.2016;mobile_web;9390
03.05.2016;Android;8587
03.05.2016;iOS;28992
03.05.2016;mobile_web;10327
04.05.2016;Android;10958
04.05.2016;iOS;31125
04.05.2016;mobile_web;8139
05.05.2016;Android;10255
05.05.2016;iOS;34010
05.05.2016;mobile_web;8296
06.05.2016;Android;9120
06.05.2016;iOS;33012
06.05.2016;mobile_web;10448
07.05.2016;Android;7407
07.05.2016;iOS;26955
07.05.2016;mobile_web;7681
08.05.2016;Android;8633
08.05.2016;iOS;21140
08.05.2016;mobile_web;8846
09.05.2016;Android;6535
09.05.2016;iOS;22985
09.05.2016;mobile_web;7238
10.05.2016;Android;10795
10.05.2016;iOS;37922
10.05.2016;mobile_web;9208
11.05.2016;Android;11231
11.05.2016;iOS;33381
11.05.2016;mobile_web;10653
12.05.2016;Android;10675
12.05.2016;iOS;32368
12.05.2016;mobile_web;9202
13.05.2016;Android;10184
13.05.2016;iOS;27024
13.05.2016;mobile_web;9842
14.05.2016;Android;9606
14.05.2016;iOS;24977
14.05.2016;mobile_web;9226
15.05.2016;Android;8847
15.05.2016;iOS;31453
15.05.2016;mobile_web;8691
16.05.2016;Android;10131
16.05.2016;iOS;35383
16.05.2016;mobile_web;9877
17.05.2016;Android;10617
17.05.2016;iOS;37896
17.05.2016;mobile_web;8923
18.05.2016;Android;10387
18.05.2016;iOS;37369
18.05.2016;mobile_web;9324
19.05.2016;Android;9240
19.05.2016;iOS;28943
19.05.2016;mobile_web;10870
20.05.2016;Android;9004
20.05.2016;iOS;30184
20.05.2016;mobile_web;10064
21.05.2016;Android;8618
21.05.2016;iOS;24195
21.05.2016;mobile_web;9006
22.05.2016;Android;10421
22.05.2016;iOS;29932
22.05.2016;mobile_web;9914
23.05.2016;Android;12504
23.05.2016;iOS;31019
23.05.2016;mobile_web;11386
24.05.2016;Android;11319
24.05.2016;iOS;37614
24.05.2016;mobile_web;9435
25.05.2016;Android;10638
25.05.2016;iOS;36202
25.05.2016;mobile_web;10022
26.05.2016;Android;11779
26.05.2016;iOS;29278
26.05.2016;mobile_web;11007
27.05.2016;Android;9234
27.05.2016;iOS;28715
27.05.2016;mobile_web;8406
28.05.2016;Android;8262
28.05.2016;iOS;23377
28.05.2016;mobile_web;8103
29.05.2016;Android;9050
29.05.2016;iOS;31315
29.05.2016;mobile_web;10512
30.05.2016;Android;10648
30.05.2016;iOS;29938
30.05.2016;mobile_web;11760
31.05.2016;Android;11325
31.05.2016;iOS;36726
31.05.2016;mobile_web;12261
01.06.2016;Android;12493
01.06.2016;iOS;43052
01.06.2016;mobile_web;10457
02.06.2016;Android;12022
02.06.2016;iOS;31723
02.06.2016;mobile_web;11499
03.06.2016;Android;13099
03.06.2016;iOS;28984
03.06.2016;mobile_web;12017
04.06.2016;Android;12893
04.06.2016;iOS;29592
04.06.2016;mobile_web;11442
05.06.2016;Android;11750
05.06.2016;iOS;30144
05.06.2016;mobile_web;10475
06.06.2016;Android;12874
06.06.2016;iOS;43332
06.06.2016;mobile_web;10977
07.06.2016;Android;14175
07.06.2016;iOS;42571
07.06.2016;mobile_web;13470
08.06.2016;Android;14945
08.06.2016;iOS;38084
08.06.2016;mobile_web;12248
09.06.2016;Android;14230
09.06.2016;iOS;36171
09.06.2016;mobile_web;12198
10.06.2016;Android;12588
10.06.2016;iOS;36659
10.06.2016;mobile_web;12210
11.06.2016;Android;11537
11.06.2016;iOS;27042
11.06.2016;mobile_web;10046
12.06.2016;Android;11653
12.06.2016;iOS;35456
12.06.2016;mobile_web;10635
13.06.2016;Android;10923
13.06.2016;iOS;38773
13.06.2016;mobile_web;13553
14.06.2016;Android;12113
14.06.2016;iOS;44248
14.06.2016;mobile_web;13066
15.06.2016;Android;11437
15.06.2016;iOS;34233
15.06.2016;mobile_web;10560
16.06.2016;Android;10834
16.06.2016;iOS;33472
16.06.2016;mobile_web;10860
17.06.2016;Android;10102
17.06.2016;iOS;30104
17.06.2016;mobile_web;11452
18.06.2016;Android;11612
18.06.2016;iOS;35605
18.06.2016;mobile_web;11186
19.06.2016;Android;9920
19.06.2016;iOS;34602
19.06.2016;mobile_web;12533
20.06.2016;Android;13568
20.06.2016;iOS;36953
20.06.2016;mobile_web;12361
21.06.2016;Android;11622
21.06.2016;iOS;41093
21.06.2016;mobile_web;12890
22.06.2016;Android;13477
22.06.2016;iOS;36842
22.06.2016;mobile_web;12579
23.06.2016;Android;13563
23.06.2016;iOS;42600
23.06.2016;mobile_web;12118
24.06.2016;Android;12929
24.06.2016;iOS;35233
24.06.2016;mobile_web;11898
25.06.2016;Android;10699
25.06.2016;iOS;29614
25.06.2016;mobile_web;11442
26.06.2016;Android;10973
26.06.2016;iOS;38018
26.06.2016;mobile_web;14201
27.06.2016;Android;13811
27.06.2016;iOS;42487
27.06.2016;mobile_web;14593
28.06.2016;Android;15075
28.06.2016;iOS;39492
28.06.2016;mobile_web;13562
29.06.2016;Android;15493
29.06.2016;iOS;44658
29.06.2016;mobile_web;13315
30.06.2016;Android;14054
30.06.2016;iOS;41281
30.06.2016;mobile_web;13862
01.07.2016;Android;13026
01.07.2016;iOS;36078
01.07.2016;mobile_web;11413
02.07.2016;Android;12049
02.07.2016;iOS;29226
02.07.2016;mobile_web;12047
03.07.2016;Android;13265
03.07.2016;iOS;36172
03.07.2016;mobile_web;11842
04.07.2016;Android;15616
04.07.2016;iOS;45912
04.07.2016;mobile_web;14232
05.07.2016;Android;13220
05.07.2016;iOS;39258
05.07.2016;mobile_web;11663
06.07.2016;Android;15533
06.07.2016;iOS;47427
06.07.2016;mobile_web;14379
07.07.2016;Android;13262
07.07.2016;iOS;47905
07.07.2016;mobile_web;12514
08.07.2016;Android;12558
08.07.2016;iOS;40768
08.07.2016;mobile_web;11974
09.07.2016;Android;13266
09.07.2016;iOS;39477
09.07.2016;mobile_web;11461
10.07.2016;Android;13959
10.07.2016;iOS;34593
10.07.2016;mobile_web;11273
11.07.2016;Android;14690
11.07.2016;iOS;41094
11.07.2016;mobile_web;13029
12.07.2016;Android;15069
12.07.2016;iOS;50968
12.07.2016;mobile_web;12448
13.07.2016;Android;15021
13.07.2016;iOS;39473
13.07.2016;mobile_web;13917
14.07.2016;Android;13103
14.07.2016;iOS;46241
14.07.2016;mobile_web;12023
15.07.2016;Android;12163
15.07.2016;iOS;37387
15.07.2016;mobile_web;12904
16.07.2016;Android;11560
16.07.2016;iOS;34954
16.07.2016;mobile_web;11212
17.07.2016;Android;13135
